Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
71,Dillon Brooks,26,MEM,32,31,27.7,7.1,16.4,0.432,1.4,4.7,0.309,5.7,11.8,0.48,0.475,2.8,3.3,0.849,0.9,2.3,3.2,2.8,1.1,0.3,1.6,3.3,18.4,1,28.8,0.6388888888888888,0.11111111111111112,0.09722222222222221,0.03819444444444445,0.010416666666666666,0.05555555555555556,0.048611111111111105
72,Bruce Brown,25,BRK,72,45,24.6,3.6,7.0,0.506,0.5,1.3,0.404,3.0,5.7,0.529,0.543,1.3,1.8,0.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9.0,1,19.0,0.47368421052631576,0.25263157894736843,0.1105263157894737,0.05789473684210527,0.03684210526315789,0.042105263157894736,0.02631578947368421
73,Charlie Brown Jr.,24,TOT,22,2,8.0,0.5,1.8,0.256,0.0,0.5,0.083,0.4,1.2,0.333,0.269,0.4,0.5,0.9,0.6,0.8,1.5,0.3,0.5,0.2,0.2,0.8,1.4,2,4.1,0.34146341463414637,0.3658536585365854,0.07317073170731708,0.12195121951219513,0.04878048780487806,0.04878048780487806,0.0
73,Charlie Brown Jr.,24,DAL,3,0,5.0,0.3,1.7,0.2,0.0,1.0,0.0,0.3,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7,2,2.3,0.30434782608695654,0.13043478260869565,0.13043478260869565,0.30434782608695654,0.13043478260869565,0.0,0.0
73,Charlie Brown Jr.,24,PHI,19,2,8.5,0.5,1.8,0.265,0.1,0.5,0.111,0.4,1.3,0.32,0.279,0.5,0.5,0.9,0.7,0.9,1.6,0.3,0.4,0.2,0.3,0.8,1.5,2,4.3999999999999995,0.34090909090909094,0.3636363636363637,0.06818181818181819,0.09090909090909093,0.04545454545454546,0.06818181818181819,0.02272727272727273
74,Chaundee Brown Jr.,23,TOT,5,2,20.8,2.0,6.4,0.313,1.2,3.6,0.333,0.8,2.8,0.286,0.406,1.0,1.2,0.833,0.2,3.0,3.2,0.8,0.4,0.0,0.2,1.4,6.2,2,12.0,0.5166666666666667,0.26666666666666666,0.06666666666666667,0.03333333333333333,0.0,0.016666666666666666,0.09999999999999999
74,Chaundee Brown Jr.,23,LAL,2,0,10.5,0.5,3.5,0.143,0.0,1.5,0.0,0.5,2.0,0.25,0.143,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1,2.5,0.4,0.4,0.0,0.0,0.0,0.2,0.0
74,Chaundee Brown Jr.,23,ATL,3,2,27.7,3.0,8.3,0.36,2.0,5.0,0.4,1.0,3.3,0.3,0.48,1.7,2.0,0.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7,2,18.4,0.5271739130434783,0.2554347826086957,0.07065217391304349,0.03804347826086957,0.0,0.0,0.10869565217391305
75,Greg Brown III,20,POR,48,6,13.3,1.7,4.0,0.426,0.4,1.3,0.311,1.3,2.7,0.481,0.476,0.9,1.4,0.677,0.8,2.0,2.8,0.7,0.5,0.5,0.8,1.9,4.7,1,10.4,0.4519230769230769,0.2692307692307692,0.0673076923076923,0.04807692307692307,0.04807692307692307,0.07692307692307693,0.038461538461538464
76,Jaylen Brown,25,BOS,66,66,33.6,8.7,18.4,0.473,2.5,7.0,0.358,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,1,39.800000000000004,0.592964824120603,0.15326633165829143,0.0879396984924623,0.027638190954773868,0.007537688442211054,0.0678391959798995,0.06281407035175879
77,Moses Brown,22,TOT,40,6,8.6,1.6,2.7,0.593,0.0,0.0,0.0,1.6,2.7,0.593,0.593,1.1,1.8,0.597,1.0,2.4,3.4,0.0,0.2,0.4,0.5,1.3,4.3,0,8.799999999999999,0.4886363636363637,0.3863636363636364,0.0,0.02272727272727273,0.04545454545454546,0.05681818181818182,0.0
