Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
193,Juan Toscano-Anderson,28,GSW,14,0,3.5,0.3,0.7,0.4,0.1,0.4,0.4,0.1,0.4,0.4,0.5,0.1,0.2,0.333,0.0,0.7,0.7,0.6,0.1,0.1,0.6,0.2,0.8,1,3.0000000000000004,0.26666666666666666,0.23333333333333328,0.19999999999999996,0.03333333333333333,0.03333333333333333,0.19999999999999996,0.03333333333333333
194,Karl-Anthony Towns,26,MIN,6,6,37.0,6.5,13.3,0.488,1.7,3.7,0.455,4.8,9.7,0.5,0.55,7.2,8.3,0.86,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8,0,43.70000000000001,0.4988558352402745,0.24713958810068645,0.05034324942791761,0.016018306636155603,0.04576659038901601,0.10297482837528601,0.03890160183066361
195,Gary Trent Jr.,23,TOR,6,6,33.2,5.2,13.7,0.378,2.2,6.5,0.333,3.0,7.2,0.419,0.457,2.8,3.2,0.895,0.2,1.5,1.7,1.3,1.0,0.5,0.5,1.8,15.3,2,22.5,0.68,0.07555555555555556,0.05777777777777778,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.09777777777777778
196,P.J. Tucker,36,MIA,18,18,28.3,3.0,6.1,0.495,1.3,2.8,0.451,1.7,3.2,0.534,0.601,0.6,0.9,0.688,1.9,3.7,5.7,1.8,0.8,0.3,0.7,2.8,7.9,1,18.500000000000004,0.42702702702702694,0.30810810810810807,0.09729729729729727,0.04324324324324324,0.016216216216216214,0.037837837837837826,0.07027027027027026
197,Rayjon Tucker,24,MIL,8,0,2.4,0.1,0.4,0.333,0.0,0.1,0.0,0.1,0.3,0.5,0.333,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.3,0.3,2,0.7,0.4285714285714286,0.5714285714285715,0.0,0.0,0.0,0.0,0.0
198,Jonas Valan?i?nas,29,NOP,6,6,29.2,5.5,11.3,0.485,0.2,1.0,0.167,5.3,10.3,0.516,0.493,3.3,4.3,0.769,5.5,8.8,14.3,3.0,0.7,0.2,2.0,2.8,14.5,0,34.900000000000006,0.41547277936962745,0.4097421203438395,0.08595988538681947,0.020057306590257874,0.005730659025787965,0.057306590257879646,0.005730659025787965
199,Jarred Vanderbilt,22,MIN,6,6,21.5,2.2,4.5,0.481,0.0,0.0,0.0,2.2,4.5,0.481,0.481,1.2,1.7,0.7,2.0,5.2,7.2,0.7,1.2,0.3,0.8,2.7,5.5,1,15.7,0.35031847133757965,0.4585987261146497,0.044585987261146494,0.07643312101910828,0.01910828025477707,0.050955414012738856,0.0
200,Fred VanVleet,27,TOR,4,4,35.0,4.8,13.5,0.352,3.0,9.0,0.333,1.8,4.5,0.389,0.463,1.3,1.5,0.833,0.5,2.5,3.0,6.3,1.8,1.0,1.0,3.0,13.8,2,29.900000000000002,0.4615384615384615,0.1003344481605351,0.21070234113712372,0.060200668896321065,0.033444816053511704,0.033444816053511704,0.1003344481605351
201,Luca Vildoza,26,MIL,7,0,2.4,0.3,0.9,0.333,0.1,0.7,0.2,0.1,0.1,1.0,0.417,0.0,0.0,0.0,0.1,0.1,0.3,0.6,0.3,0.0,0.0,0.3,0.7,2,2.0,0.35,0.15,0.3,0.15,0.0,0.0,0.05
202,Gabe Vincent,25,MIA,18,8,23.5,2.8,7.3,0.382,1.4,4.5,0.309,1.4,2.8,0.5,0.477,1.1,1.1,0.95,0.2,1.8,1.9,3.2,0.8,0.3,1.4,2.3,8.0,2,17.000000000000004,0.47058823529411753,0.11176470588235292,0.18823529411764703,0.04705882352941176,0.017647058823529408,0.08235294117647056,0.08235294117647056
203,Nikola Vu?evi?,31,CHI,5,5,36.2,8.0,18.2,0.44,2.6,8.4,0.31,5.4,9.8,0.551,0.511,0.8,1.0,0.8,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4,0,40.800000000000004,0.4754901960784313,0.30392156862745096,0.0784313725490196,0.00980392156862745,0.02941176470588235,0.0392156862745098,0.06372549019607843
204,Ish Wainright,27,PHO,7,0,3.7,0.7,1.7,0.417,0.4,0.9,0.5,0.3,0.9,0.333,0.542,0.0,0.0,0.0,1.0,0.6,1.6,0.1,0.1,0.1,0.4,0.3,1.9,1,4.6000000000000005,0.4130434782608695,0.34782608695652173,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.08695652173913043
205,Yuta Watanabe,27,TOR,4,0,2.5,0.5,1.5,0.333,0.0,0.3,0.0,0.5,1.3,0.4,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1,1.3,0.7692307692307692,0.0,0.0,0.0,0.0,0.23076923076923075,0.0
206,Coby White,21,CHI,5,0,19.6,3.0,9.0,0.333,1.6,5.8,0.276,1.4,3.2,0.438,0.422,0.8,1.0,0.8,0.0,3.4,3.4,1.8,0.2,0.0,1.2,1.0,8.4,2,16.6,0.5060240963855421,0.2048192771084337,0.10843373493975902,0.012048192771084336,0.0,0.07228915662650602,0.09638554216867469
207,Derrick White,27,BOS,23,3,25.4,2.8,7.7,0.364,1.1,3.6,0.313,1.7,4.0,0.409,0.438,1.8,2.2,0.824,0.3,2.7,3.0,2.7,0.9,0.6,1.3,2.0,8.5,2,18.1,0.46961325966850825,0.16574585635359115,0.14917127071823205,0.049723756906077346,0.03314917127071823,0.0718232044198895,0.06077348066298342
208,Hassan Whiteside,32,UTA,6,0,10.8,0.8,2.0,0.417,0.0,0.0,0.0,0.8,2.0,0.417,0.417,0.2,0.7,0.25,1.3,3.8,5.2,0.0,0.3,1.3,0.0,1.5,1.8,0,8.6,0.20930232558139536,0.6046511627906977,0.0,0.03488372093023256,0.15116279069767444,0.0,0.0
209,Andrew Wiggins,26,GSW,22,22,34.9,6.5,13.9,0.469,1.6,4.8,0.333,4.9,9.1,0.54,0.526,1.9,3.0,0.646,2.5,5.0,7.5,1.8,1.0,1.0,1.4,2.5,16.5,1,30.8,0.5357142857142857,0.2435064935064935,0.05844155844155844,0.032467532467532464,0.032467532467532464,0.04545454545454545,0.05194805194805195
210,Grant Williams,23,BOS,24,5,27.3,2.7,6.3,0.433,1.5,3.7,0.393,1.3,2.5,0.492,0.55,1.8,2.2,0.808,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,1,16.6,0.5180722891566264,0.22891566265060237,0.048192771084337345,0.018072289156626505,0.048192771084337345,0.048192771084337345,0.09036144578313252
211,Patrick Williams,20,CHI,5,5,30.6,4.4,9.4,0.468,1.4,4.2,0.333,3.0,5.2,0.577,0.543,1.6,2.2,0.727,1.2,4.2,5.4,0.8,1.0,0.6,1.4,3.0,11.8,1,22.400000000000002,0.5267857142857143,0.24107142857142858,0.03571428571428571,0.04464285714285714,0.02678571428571428,0.06249999999999999,0.06249999999999999
212,Robert Williams,24,BOS,17,15,23.2,3.1,4.6,0.679,0.0,0.1,0.0,3.1,4.5,0.688,0.679,1.5,1.6,0.893,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,0,18.400000000000002,0.4184782608695652,0.33695652173913043,0.05434782608695651,0.03804347826086956,0.11956521739130434,0.032608695652173905,0.0
213,Ziaire Williams,20,MEM,10,1,16.8,2.3,5.2,0.442,1.1,3.6,0.306,1.2,1.6,0.75,0.548,1.2,1.3,0.923,0.4,1.2,1.6,0.5,0.5,0.0,0.2,1.4,6.9,1,10.799999999999999,0.638888888888889,0.14814814814814817,0.0462962962962963,0.0462962962962963,0.0,0.01851851851851852,0.10185185185185187
214,Delon Wright,29,ATL,5,0,27.4,3.0,5.8,0.517,1.0,2.6,0.385,2.0,3.2,0.625,0.603,1.2,1.8,0.667,2.2,2.6,4.8,2.8,0.8,0.2,1.0,0.4,8.2,2,18.8,0.4361702127659574,0.2553191489361702,0.14893617021276595,0.0425531914893617,0.010638297872340425,0.05319148936170213,0.05319148936170213
215,Thaddeus Young,33,TOR,6,0,14.5,1.5,3.0,0.5,0.2,1.2,0.143,1.3,1.8,0.727,0.528,0.2,0.7,0.25,1.2,1.8,3.0,1.7,0.8,0.2,0.5,1.3,3.3,1,9.7,0.3402061855670103,0.30927835051546393,0.1752577319587629,0.08247422680412372,0.02061855670103093,0.051546391752577324,0.02061855670103093
216,Trae Young,23,ATL,5,5,37.2,4.4,13.8,0.319,1.4,7.6,0.184,3.0,6.2,0.484,0.37,5.2,6.6,0.788,1.0,4.0,5.0,6.0,0.6,0.0,6.2,2.6,15.4,2,34.6,0.44508670520231214,0.1445086705202312,0.17341040462427745,0.017341040462427744,0.0,0.1791907514450867,0.040462427745664734
217,Omer Yurtseven,23,MIA,9,0,4.2,1.3,2.0,0.667,0.0,0.2,0.0,1.3,1.8,0.75,0.667,0.1,0.3,0.333,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.2,2.8,0,3.9999999999999996,0.7000000000000001,0.20000000000000004,0.07500000000000001,0.0,0.025000000000000005,0.0,0.0
